index,riskID,level,sex
69,NC_mstRFTobaccoWarnMassMedia,4,Both
70,NC_mstRFTobaccoWarnMassMedia,4,Male
71,NC_mstRFTobaccoWarnMassMedia,4,Female
72,NC_mstRFTobaccoBan,1,Both
73,NC_mstRFTobaccoBan,1,Male
74,NC_mstRFTobaccoBan,1,Female
75,NC_mstRFTobaccoBan,2,Both
76,NC_mstRFTobaccoBan,2,Male
77,NC_mstRFTobaccoBan,2,Female
78,NC_mstRFTobaccoBan,3,Both
79,NC_mstRFTobaccoBan,3,Male
80,NC_mstRFTobaccoBan,3,Female
81,NC_mstRFTobaccoBan,4,Both
82,NC_mstRFTobaccoBan,4,Male
83,NC_mstRFTobaccoBan,4,Female
84,NC_mstRFTobaccoEnforceYouth,1,Both
85,NC_mstRFTobaccoEnforceYouth,1,Male
86,NC_mstRFTobaccoEnforceYouth,1,Female
87,NC_mstRFTobaccoEnforceYouth,2,Both
88,NC_mstRFTobaccoEnforceYouth,2,Male
89,NC_mstRFTobaccoEnforceYouth,2,Female
90,NC_mstRFTobaccoEnforceYouth,3,Both
91,NC_mstRFTobaccoEnforceYouth,3,Male
92,NC_mstRFTobaccoEnforceYouth,3,Female
93,NC_mstRFTobaccoEnforceYouth,4,Both
94,NC_mstRFTobaccoEnforceYouth,4,Male
95,NC_mstRFTobaccoEnforceYouth,4,Female
96,NC_mstRFTobaccoTax,1,Both
97,NC_mstRFTobaccoTax,1,Male
98,NC_mstRFTobaccoTax,1,Female
99,NC_mstRFTobaccoTax,2,Both
100,NC_mstRFTobaccoTax,2,Male
101,NC_mstRFTobaccoTax,2,Female
102,NC_mstRFTobaccoTax,3,Both
103,NC_mstRFTobaccoTax,3,Male
104,NC_mstRFTobaccoTax,3,Female
105,NC_mstRFTobaccoTax,4,Both
106,NC_mstRFTobaccoTax,4,Male
107,NC_mstRFTobaccoTax,4,Female
108,NC_mstRFTobaccoPackaging,1,Both
109,NC_mstRFTobaccoPackaging,1,Male
110,NC_mstRFTobaccoPackaging,1,Female
111,NC_mstRFTobaccoPackaging,2,Both
112,NC_mstRFTobaccoPackaging,2,Male
113,NC_mstRFTobaccoPackaging,2,Female
114,NC_mstRFTobaccoPackaging,3,Both
115,NC_mstRFTobaccoPackaging,3,Male
116,NC_mstRFTobaccoPackaging,3,Female
117,NC_mstRFTobaccoPackaging,4,Both
118,NC_mstRFTobaccoPackaging,4,Male
119,NC_mstRFTobaccoPackaging,4,Female
120,NC_mstRFAlcoholRestrict,1,Both
121,NC_mstRFAlcoholRestrict,1,Male
122,NC_mstRFAlcoholRestrict,1,Female
123,NC_mstRFAlcoholRestrict,2,Both
124,NC_mstRFAlcoholRestrict,2,Male
125,NC_mstRFAlcoholRestrict,2,Female
126,NC_mstRFAlcoholRestrict,3,Both
127,NC_mstRFAlcoholRestrict,3,Male
128,NC_mstRFAlcoholRestrict,3,Female
129,NC_mstRFAlcoholRestrict,4,Both
130,NC_mstRFAlcoholRestrict,4,Male
131,NC_mstRFAlcoholRestrict,4,Female
132,NC_mstRFAlcoholBanAdvert,1,Both
133,NC_mstRFAlcoholBanAdvert,1,Male
134,NC_mstRFAlcoholBanAdvert,1,Female
135,NC_mstRFAlcoholBanAdvert,2,Both
136,NC_mstRFAlcoholBanAdvert,2,Male
137,NC_mstRFAlcoholBanAdvert,2,Female
138,NC_mstRFAlcoholBanAdvert,3,Both
139,NC_mstRFAlcoholBanAdvert,3,Male
140,NC_mstRFAlcoholBanAdvert,3,Female
141,NC_mstRFAlcoholBanAdvert,4,Both
142,NC_mstRFAlcoholBanAdvert,4,Male
143,NC_mstRFAlcoholBanAdvert,4,Female
144,NC_mstRFAlcoholBanTax,1,Both
145,NC_mstRFAlcoholBanTax,1,Male
146,NC_mstRFAlcoholBanTax,1,Female
147,NC_mstRFAlcoholBanTax,2,Both
148,NC_mstRFAlcoholBanTax,2,Male
149,NC_mstRFAlcoholBanTax,2,Female
150,NC_mstRFAlcoholBanTax,3,Both
151,NC_mstRFAlcoholBanTax,3,Male
152,NC_mstRFAlcoholBanTax,3,Female
153,NC_mstRFAlcoholBanTax,4,Both
154,NC_mstRFAlcoholBanTax,4,Male
155,NC_mstRFAlcoholBanTax,4,Female
156,NC_mstRFAlcoholDriveLaws,1,Both
157,NC_mstRFAlcoholDriveLaws,1,Male
158,NC_mstRFAlcoholDriveLaws,1,Female
159,NC_mstRFAlcoholDriveLaws,2,Both
160,NC_mstRFAlcoholDriveLaws,2,Male
161,NC_mstRFAlcoholDriveLaws,2,Female
162,NC_mstRFAlcoholDriveLaws,3,Both
163,NC_mstRFAlcoholDriveLaws,3,Male
164,NC_mstRFAlcoholDriveLaws,3,Female
165,NC_mstRFAlcoholDriveLaws,4,Both
166,NC_mstRFAlcoholDriveLaws,4,Male
167,NC_mstRFAlcoholDriveLaws,4,Female
168,NC_mstRFAlcoholCounsel,1,Both
169,NC_mstRFAlcoholCounsel,1,Male
170,NC_mstRFAlcoholCounsel,1,Female
171,NC_mstRFAlcoholCounsel,2,Both
172,NC_mstRFAlcoholCounsel,2,Male
173,NC_mstRFAlcoholCounsel,2,Female
174,NC_mstRFAlcoholCounsel,3,Both
175,NC_mstRFAlcoholCounsel,3,Male
176,NC_mstRFAlcoholCounsel,3,Female
177,NC_mstRFAlcoholCounsel,4,Both
178,NC_mstRFAlcoholCounsel,4,Male
179,NC_mstRFAlcoholCounsel,4,Female
180,NC_mstRFPhysicalActivityAwreness,1,Both
181,NC_mstRFPhysicalActivityAwreness,1,Male
182,NC_mstRFPhysicalActivityAwreness,1,Female
183,NC_mstRFPhysicalActivityAwreness,2,Both
184,NC_mstRFPhysicalActivityAwreness,2,Male
185,NC_mstRFPhysicalActivityAwreness,2,Female
186,NC_mstRFPhysicalActivityAwreness,3,Both
187,NC_mstRFPhysicalActivityAwreness,3,Male
188,NC_mstRFPhysicalActivityAwreness,3,Female
189,NC_mstRFPhysicalActivityAwreness,4,Both
190,NC_mstRFPhysicalActivityAwreness,4,Male
191,NC_mstRFPhysicalActivityAwreness,4,Female
192,NC_mstRFPhysicalActivityAdvice,1,Both
193,NC_mstRFPhysicalActivityAdvice,1,Male
194,NC_mstRFPhysicalActivityAdvice,1,Female
195,NC_mstRFPhysicalActivityAdvice,2,Both
196,NC_mstRFPhysicalActivityAdvice,2,Male
197,NC_mstRFPhysicalActivityAdvice,2,Female
198,NC_mstRFPhysicalActivityAdvice,3,Both
199,NC_mstRFPhysicalActivityAdvice,3,Male
200,NC_mstRFPhysicalActivityAdvice,3,Female
201,NC_mstRFPhysicalActivityAdvice,4,Both
202,NC_mstRFPhysicalActivityAdvice,4,Male
203,NC_mstRFPhysicalActivityAdvice,4,Female
204,NC_mstRFSodiumSurveillance,1,Both
205,NC_mstRFSodiumSurveillance,1,Male
206,NC_mstRFSodiumSurveillance,1,Female
207,NC_mstRFSodiumSurveillance,2,Both
208,NC_mstRFSodiumSurveillance,2,Male
209,NC_mstRFSodiumSurveillance,2,Female
210,NC_mstRFSodiumSurveillance,3,Both
211,NC_mstRFSodiumSurveillance,3,Male
212,NC_mstRFSodiumSurveillance,3,Female
213,NC_mstRFSodiumSurveillance,4,Both
214,NC_mstRFSodiumSurveillance,4,Male
215,NC_mstRFSodiumSurveillance,4,Female
216,NC_mstRFSodiumReformulation,1,Both
217,NC_mstRFSodiumReformulation,1,Male
218,NC_mstRFSodiumReformulation,1,Female
219,NC_mstRFSodiumReformulation,2,Both
220,NC_mstRFSodiumReformulation,2,Male
221,NC_mstRFSodiumReformulation,2,Female
222,NC_mstRFSodiumReformulation,3,Both
223,NC_mstRFSodiumReformulation,3,Male
224,NC_mstRFSodiumReformulation,3,Female
225,NC_mstRFSodiumReformulation,4,Both
226,NC_mstRFSodiumReformulation,4,Male
227,NC_mstRFSodiumReformulation,4,Female
228,NC_mstRFSodiumPackLabelling,1,Both
229,NC_mstRFSodiumPackLabelling,1,Male
230,NC_mstRFSodiumPackLabelling,1,Female
231,NC_mstRFSodiumPackLabelling,2,Both
232,NC_mstRFSodiumPackLabelling,2,Male
233,NC_mstRFSodiumPackLabelling,2,Female
234,NC_mstRFSodiumPackLabelling,3,Both
235,NC_mstRFSodiumPackLabelling,3,Male
236,NC_mstRFSodiumPackLabelling,3,Female
237,NC_mstRFSodiumPackLabelling,4,Both
238,NC_mstRFSodiumPackLabelling,4,Male
239,NC_mstRFSodiumPackLabelling,4,Female
240,NC_mstRFSodiumMisleadingMarket,1,Both
241,NC_mstRFSodiumMisleadingMarket,1,Male
242,NC_mstRFSodiumMisleadingMarket,1,Female
243,NC_mstRFSodiumMisleadingMarket,2,Both
244,NC_mstRFSodiumMisleadingMarket,2,Male
245,NC_mstRFSodiumMisleadingMarket,2,Female
246,NC_mstRFSodiumMisleadingMarket,3,Both
247,NC_mstRFSodiumMisleadingMarket,3,Male
248,NC_mstRFSodiumMisleadingMarket,3,Female
249,NC_mstRFSodiumMisleadingMarket,4,Both
250,NC_mstRFSodiumMisleadingMarket,4,Male
251,NC_mstRFSodiumMisleadingMarket,4,Female
252,NC_mstRFSodiumKnowledge,1,Both
253,NC_mstRFSodiumKnowledge,1,Male
254,NC_mstRFSodiumKnowledge,1,Female
255,NC_mstRFSodiumKnowledge,2,Both
256,NC_mstRFSodiumKnowledge,2,Male
257,NC_mstRFSodiumKnowledge,2,Female
258,NC_mstRFSodiumKnowledge,3,Both
259,NC_mstRFSodiumKnowledge,3,Male
260,NC_mstRFSodiumKnowledge,3,Female
261,NC_mstRFSodiumKnowledge,4,Both
262,NC_mstRFSodiumKnowledge,4,Male
263,NC_mstRFSodiumKnowledge,4,Female
264,NC_mstRFSodiumEnvSaltReduct,1,Both
265,NC_mstRFSodiumEnvSaltReduct,1,Male
266,NC_mstRFSodiumEnvSaltReduct,1,Female
267,NC_mstRFSodiumEnvSaltReduct,2,Both
268,NC_mstRFSodiumEnvSaltReduct,2,Male
269,NC_mstRFSodiumEnvSaltReduct,2,Female
270,NC_mstRFSodiumEnvSaltReduct,3,Both
271,NC_mstRFSodiumEnvSaltReduct,3,Male
272,NC_mstRFSodiumEnvSaltReduct,3,Female
273,NC_mstRFSodiumEnvSaltReduct,4,Both
274,NC_mstRFSodiumEnvSaltReduct,4,Male
275,NC_mstRFSodiumEnvSaltReduct,4,Female
276,NC_mstRFObesityKillTransFats,1,Both
277,NC_mstRFObesityKillTransFats,1,Male
278,NC_mstRFObesityKillTransFats,1,Female
279,NC_mstRFObesityKillTransFats,2,Both
280,NC_mstRFObesityKillTransFats,2,Male
281,NC_mstRFObesityKillTransFats,2,Female
282,NC_mstRFObesityKillTransFats,3,Both
283,NC_mstRFObesityKillTransFats,3,Male
284,NC_mstRFObesityKillTransFats,3,Female
285,NC_mstRFObesityKillTransFats,4,Both
286,NC_mstRFObesityKillTransFats,4,Male
287,NC_mstRFObesityKillTransFats,4,Female
288,NC_mstRFObesityReplaceSatFats,1,Both
289,NC_mstRFObesityReplaceSatFats,1,Male
290,NC_mstRFObesityReplaceSatFats,1,Female
291,NC_mstRFObesityReplaceSatFats,2,Both
292,NC_mstRFObesityReplaceSatFats,2,Male
293,NC_mstRFObesityReplaceSatFats,2,Female
294,NC_mstRFObesityReplaceSatFats,3,Both
295,NC_mstRFObesityReplaceSatFats,3,Male
296,NC_mstRFObesityReplaceSatFats,3,Female
297,NC_mstRFObesityReplaceSatFats,4,Both
298,NC_mstRFObesityReplaceSatFats,4,Male
299,NC_mstRFObesityReplaceSatFats,4,Female
300,NC_mstRFObesityReduceSugarTax,1,Both
301,NC_mstRFObesityReduceSugarTax,1,Male
302,NC_mstRFObesityReduceSugarTax,1,Female
303,NC_mstRFObesityReduceSugarTax,2,Both
304,NC_mstRFObesityReduceSugarTax,2,Male
305,NC_mstRFObesityReduceSugarTax,2,Female
306,NC_mstRFObesityReduceSugarTax,3,Both
307,NC_mstRFObesityReduceSugarTax,3,Male
308,NC_mstRFObesityReduceSugarTax,3,Female
309,NC_mstRFObesityReduceSugarTax,4,Both
310,NC_mstRFObesityReduceSugarTax,4,Male
311,NC_mstRFObesityReduceSugarTax,4,Female
312,NC_mstRFBiomass,1,Both
313,NC_mstRFBiomass,1,Male
314,NC_mstRFBiomass,1,Female
315,NC_mstRFBiomass,2,Both
316,NC_mstRFBiomass,2,Male
317,NC_mstRFBiomass,2,Female
318,NC_mstRFBiomass,3,Both
319,NC_mstRFBiomass,3,Male
320,NC_mstRFBiomass,3,Female
321,NC_mstRFBiomass,4,Both
322,NC_mstRFBiomass,4,Male
323,NC_mstRFBiomass,4,Female
324,NC_mstRFCharcoal,1,Both
325,NC_mstRFCharcoal,1,Male
326,NC_mstRFCharcoal,1,Female
327,NC_mstRFCharcoal,2,Both
328,NC_mstRFCharcoal,2,Male
329,NC_mstRFCharcoal,2,Female
330,NC_mstRFCharcoal,3,Both
331,NC_mstRFCharcoal,3,Male
332,NC_mstRFCharcoal,3,Female
333,NC_mstRFCharcoal,4,Both
334,NC_mstRFCharcoal,4,Male
335,NC_mstRFCharcoal,4,Female
336,NC_mstRFICS_Charcoal,1,Both
337,NC_mstRFICS_Charcoal,1,Male
338,NC_mstRFICS_Charcoal,1,Female
339,NC_mstRFICS_Charcoal,2,Both
340,NC_mstRFICS_Charcoal,2,Male
341,NC_mstRFICS_Charcoal,2,Female
342,NC_mstRFICS_Charcoal,3,Both
343,NC_mstRFICS_Charcoal,3,Male
344,NC_mstRFICS_Charcoal,3,Female
345,NC_mstRFICS_Charcoal,4,Both
346,NC_mstRFICS_Charcoal,4,Male
347,NC_mstRFICS_Charcoal,4,Female
348,NC_mstRFICS_chimney,1,Both
349,NC_mstRFICS_chimney,1,Male
350,NC_mstRFICS_chimney,1,Female
351,NC_mstRFICS_chimney,2,Both
352,NC_mstRFICS_chimney,2,Male
353,NC_mstRFICS_chimney,2,Female
354,NC_mstRFICS_chimney,3,Both
355,NC_mstRFICS_chimney,3,Male
356,NC_mstRFICS_chimney,3,Female
357,NC_mstRFICS_chimney,4,Both
358,NC_mstRFICS_chimney,4,Male
359,NC_mstRFICS_chimney,4,Female
360,NC_mstRFICS_biomass_natural_draft,1,Both
361,NC_mstRFICS_biomass_natural_draft,1,Male
362,NC_mstRFICS_biomass_natural_draft,1,Female
363,NC_mstRFICS_biomass_natural_draft,2,Both
364,NC_mstRFICS_biomass_natural_draft,2,Male
365,NC_mstRFICS_biomass_natural_draft,2,Female
366,NC_mstRFICS_biomass_natural_draft,3,Both
367,NC_mstRFICS_biomass_natural_draft,3,Male
368,NC_mstRFICS_biomass_natural_draft,3,Female
369,NC_mstRFICS_biomass_natural_draft,4,Both
370,NC_mstRFICS_biomass_natural_draft,4,Male
371,NC_mstRFICS_biomass_natural_draft,4,Female
372,NC_mstRFICS_biomass_forced_draft,1,Both
373,NC_mstRFICS_biomass_forced_draft,1,Male
374,NC_mstRFICS_biomass_forced_draft,1,Female
375,NC_mstRFICS_biomass_forced_draft,2,Both
376,NC_mstRFICS_biomass_forced_draft,2,Male
377,NC_mstRFICS_biomass_forced_draft,2,Female
378,NC_mstRFICS_biomass_forced_draft,3,Both
379,NC_mstRFICS_biomass_forced_draft,3,Male
380,NC_mstRFICS_biomass_forced_draft,3,Female
381,NC_mstRFICS_biomass_forced_draft,4,Both
382,NC_mstRFICS_biomass_forced_draft,4,Male
383,NC_mstRFICS_biomass_forced_draft,4,Female
384,NC_mstRFICS_pellet,1,Both
385,NC_mstRFICS_pellet,1,Male
386,NC_mstRFICS_pellet,1,Female
387,NC_mstRFICS_pellet,2,Both
388,NC_mstRFICS_pellet,2,Male
389,NC_mstRFICS_pellet,2,Female
390,NC_mstRFICS_pellet,3,Both
391,NC_mstRFICS_pellet,3,Male
392,NC_mstRFICS_pellet,3,Female
393,NC_mstRFICS_pellet,4,Both
394,NC_mstRFICS_pellet,4,Male
395,NC_mstRFICS_pellet,4,Female
396,NC_mstRFKerosene,1,Both
397,NC_mstRFKerosene,1,Male
398,NC_mstRFKerosene,1,Female
399,NC_mstRFKerosene,2,Both
400,NC_mstRFKerosene,2,Male
401,NC_mstRFKerosene,2,Female
402,NC_mstRFKerosene,3,Both
403,NC_mstRFKerosene,3,Male
404,NC_mstRFKerosene,3,Female
405,NC_mstRFKerosene,4,Both
406,NC_mstRFKerosene,4,Male
407,NC_mstRFKerosene,4,Female
408,NC_mstRFLPG,1,Both
409,NC_mstRFLPG,1,Male
410,NC_mstRFLPG,1,Female
411,NC_mstRFLPG,2,Both
412,NC_mstRFLPG,2,Male
413,NC_mstRFLPG,2,Female
414,NC_mstRFLPG,3,Both
415,NC_mstRFLPG,3,Male
416,NC_mstRFLPG,3,Female
417,NC_mstRFLPG,4,Both
418,NC_mstRFLPG,4,Male
419,NC_mstRFLPG,4,Female
420,NC_mstRFBiogas,1,Both
421,NC_mstRFBiogas,1,Male
422,NC_mstRFBiogas,1,Female
423,NC_mstRFBiogas,2,Both
424,NC_mstRFBiogas,2,Male
425,NC_mstRFBiogas,2,Female
426,NC_mstRFBiogas,3,Both
427,NC_mstRFBiogas,3,Male
428,NC_mstRFBiogas,3,Female
429,NC_mstRFBiogas,4,Both
430,NC_mstRFBiogas,4,Male
431,NC_mstRFBiogas,4,Female
432,NC_mstRFEthanol,1,Both
433,NC_mstRFEthanol,1,Male
434,NC_mstRFEthanol,1,Female
435,NC_mstRFEthanol,2,Both
436,NC_mstRFEthanol,2,Male
437,NC_mstRFEthanol,2,Female
438,NC_mstRFEthanol,3,Both
439,NC_mstRFEthanol,3,Male
440,NC_mstRFEthanol,3,Female
441,NC_mstRFEthanol,4,Both
442,NC_mstRFEthanol,4,Male
443,NC_mstRFEthanol,4,Female
444,NC_mstRFElectric,1,Both
445,NC_mstRFElectric,1,Male
446,NC_mstRFElectric,1,Female
447,NC_mstRFElectric,2,Both
448,NC_mstRFElectric,2,Male
449,NC_mstRFElectric,2,Female
450,NC_mstRFElectric,3,Both
451,NC_mstRFElectric,3,Male
452,NC_mstRFElectric,3,Female
453,NC_mstRFElectric,4,Both
454,NC_mstRFElectric,4,Male
455,NC_mstRFElectric,4,Female
456,NC_mstRFHousehold_AP_Intrv,1,Both
457,NC_mstRFHousehold_AP_Intrv,1,Male
458,NC_mstRFHousehold_AP_Intrv,1,Female
459,NC_mstRFHousehold_AP_Intrv,2,Both
460,NC_mstRFHousehold_AP_Intrv,2,Male
461,NC_mstRFHousehold_AP_Intrv,2,Female
462,NC_mstRFHousehold_AP_Intrv,3,Both
463,NC_mstRFHousehold_AP_Intrv,3,Male
464,NC_mstRFHousehold_AP_Intrv,3,Female
465,NC_mstRFHousehold_AP_Intrv,4,Both
466,NC_mstRFHousehold_AP_Intrv,4,Male
467,NC_mstRFHousehold_AP_Intrv,4,Female
468,NC_mstRFTransfatPublicProcurement,1,Both
469,NC_mstRFTransfatPublicProcurement,1,Male
470,NC_mstRFTransfatPublicProcurement,1,Female
471,NC_mstRFTransfatPublicProcurement,2,Both
472,NC_mstRFTransfatPublicProcurement,2,Male
473,NC_mstRFTransfatPublicProcurement,2,Female
474,NC_mstRFTransfatPublicProcurement,3,Both
475,NC_mstRFTransfatPublicProcurement,3,Male
476,NC_mstRFTransfatPublicProcurement,3,Female
477,NC_mstRFTransfatPublicProcurement,4,Both
478,NC_mstRFTransfatPublicProcurement,4,Male
479,NC_mstRFTransfatPublicProcurement,4,Female
480,NC_mstRFTransfatReformulation,1,Both
481,NC_mstRFTransfatReformulation,1,Male
482,NC_mstRFTransfatReformulation,1,Female
483,NC_mstRFTransfatReformulation,2,Both
484,NC_mstRFTransfatReformulation,2,Male
485,NC_mstRFTransfatReformulation,2,Female
486,NC_mstRFTransfatReformulation,3,Both
487,NC_mstRFTransfatReformulation,3,Male
488,NC_mstRFTransfatReformulation,3,Female
489,NC_mstRFTransfatReformulation,4,Both
490,NC_mstRFTransfatReformulation,4,Male
491,NC_mstRFTransfatReformulation,4,Female
492,NC_mstRFTransfatFrontPackLabelling,1,Both
493,NC_mstRFTransfatFrontPackLabelling,1,Male
494,NC_mstRFTransfatFrontPackLabelling,1,Female
495,NC_mstRFTransfatFrontPackLabelling,2,Both
496,NC_mstRFTransfatFrontPackLabelling,2,Male
497,NC_mstRFTransfatFrontPackLabelling,2,Female
498,NC_mstRFTransfatFrontPackLabelling,3,Both
499,NC_mstRFTransfatFrontPackLabelling,3,Male
500,NC_mstRFTransfatFrontPackLabelling,3,Female
501,NC_mstRFTransfatFrontPackLabelling,4,Both
502,NC_mstRFTransfatFrontPackLabelling,4,Male
503,NC_mstRFTransfatFrontPackLabelling,4,Female
504,NC_mstRFSSBPublicProcurement,1,Both
505,NC_mstRFSSBPublicProcurement,1,Male
506,NC_mstRFSSBPublicProcurement,1,Female
507,NC_mstRFSSBPublicProcurement,2,Both
508,NC_mstRFSSBPublicProcurement,2,Male
509,NC_mstRFSSBPublicProcurement,2,Female
510,NC_mstRFSSBPublicProcurement,3,Both
511,NC_mstRFSSBPublicProcurement,3,Male
512,NC_mstRFSSBPublicProcurement,3,Female
513,NC_mstRFSSBPublicProcurement,4,Both
514,NC_mstRFSSBPublicProcurement,4,Male
515,NC_mstRFSSBPublicProcurement,4,Female
516,NC_mstRFSSBReformulation,1,Both
517,NC_mstRFSSBReformulation,1,Male
518,NC_mstRFSSBReformulation,1,Female
519,NC_mstRFSSBReformulation,2,Both
520,NC_mstRFSSBReformulation,2,Male
521,NC_mstRFSSBReformulation,2,Female
522,NC_mstRFSSBReformulation,3,Both
523,NC_mstRFSSBReformulation,3,Male
524,NC_mstRFSSBReformulation,3,Female
525,NC_mstRFSSBReformulation,4,Both
526,NC_mstRFSSBReformulation,4,Male
527,NC_mstRFSSBReformulation,4,Female
528,NC_mstRFSSBFrontPackLabelling,1,Both
529,NC_mstRFSSBFrontPackLabelling,1,Male
530,NC_mstRFSSBFrontPackLabelling,1,Female
531,NC_mstRFSSBFrontPackLabelling,2,Both
532,NC_mstRFSSBFrontPackLabelling,2,Male
533,NC_mstRFSSBFrontPackLabelling,2,Female
534,NC_mstRFSSBFrontPackLabelling,3,Both
535,NC_mstRFSSBFrontPackLabelling,3,Male
536,NC_mstRFSSBFrontPackLabelling,3,Female
537,NC_mstRFSSBFrontPackLabelling,4,Both
538,NC_mstRFSSBFrontPackLabelling,4,Male
539,NC_mstRFSSBFrontPackLabelling,4,Female
540,NC_mstRFSSBTax,1,Both
541,NC_mstRFSSBTax,1,Male
542,NC_mstRFSSBTax,1,Female
543,NC_mstRFSSBTax,2,Both
544,NC_mstRFSSBTax,2,Male
545,NC_mstRFSSBTax,2,Female
546,NC_mstRFSSBTax,3,Both
547,NC_mstRFSSBTax,3,Male
548,NC_mstRFSSBTax,3,Female
549,NC_mstRFSSBTax,4,Both
550,NC_mstRFSSBTax,4,Male
551,NC_mstRFSSBTax,4,Female
552,NC_mstRFFiberPublicProcurement,1,Both
553,NC_mstRFFiberPublicProcurement,1,Male
554,NC_mstRFFiberPublicProcurement,1,Female
555,NC_mstRFFiberPublicProcurement,2,Both
556,NC_mstRFFiberPublicProcurement,2,Male
557,NC_mstRFFiberPublicProcurement,2,Female
558,NC_mstRFFiberPublicProcurement,3,Both
559,NC_mstRFFiberPublicProcurement,3,Male
560,NC_mstRFFiberPublicProcurement,3,Female
561,NC_mstRFFiberPublicProcurement,4,Both
562,NC_mstRFFiberPublicProcurement,4,Male
563,NC_mstRFFiberPublicProcurement,4,Female
564,NC_mstRFFiberReformulation,1,Both
565,NC_mstRFFiberReformulation,1,Male
566,NC_mstRFFiberReformulation,1,Female
567,NC_mstRFFiberReformulation,2,Both
568,NC_mstRFFiberReformulation,2,Male
569,NC_mstRFFiberReformulation,2,Female
570,NC_mstRFFiberReformulation,3,Both
571,NC_mstRFFiberReformulation,3,Male
572,NC_mstRFFiberReformulation,3,Female
573,NC_mstRFFiberReformulation,4,Both
574,NC_mstRFFiberReformulation,4,Male
575,NC_mstRFFiberReformulation,4,Female
576,NC_mstRFFiberFrontPackLabelling,1,Both
577,NC_mstRFFiberFrontPackLabelling,1,Male
578,NC_mstRFFiberFrontPackLabelling,1,Female
579,NC_mstRFFiberFrontPackLabelling,2,Both
580,NC_mstRFFiberFrontPackLabelling,2,Male
581,NC_mstRFFiberFrontPackLabelling,2,Female
