ISO,intervention,value
SWE,NC_mstStdGlycControl,20.0
SWE,NC_mstIntsvGlycControl,5.0
SWE,NC_mstIntsvGlycControl,5.0
SWE,NC_mstIntsvGlycControl,20.0
SWE,NC_mstRetinopathyScrn,10.0
SWE,NC_mstNeuropathyScr,10.0
SWE,NC_mstNephropathyScr,10.0
SWE,NC_mstAntiDeprIntensPsychNEW,5.0
SWE,NC_mstAntiDeprIntensPsychNEW,5.0
SWE,NC_mstAntiDeprIntensPsychNEW,5.0
SWE,NC_mstAntiDeprIntensPsychREC,1.0
SWE,NC_mstAntiDeprIntensPsychREC,1.0
SWE,NC_mstAntiDeprIntensPsychREC,1.0
SWE,NC_mstAntiDepBasicPsychMild,5.0
SWE,NC_mstAntiDepBasicPsychMild,5.0
SWE,NC_mstAntiDepBasicPsychModerate,10.0
SWE,NC_mstAntiDepBasicPsychModerate,10.0
SWE,NC_mstAntiDepInten,5.0
SWE,NC_mstAntiDepInten,5.0
SWE,NC_mstAntiDeprIntensPsychNEW,5.0
SWE,NC_mstAntiDeprIntensPsychNEW,5.0
SWE,NC_mstAntiDeprIntensPsychNEW,5.0
SWE,NC_mstAntiDeprIntensPsychREC,1.0
SWE,NC_mstAntiDeprIntensPsychREC,1.0
SWE,NC_mstAntiDeprIntensPsychREC,1.0
SWE,NC_mstAntiDepBasicPsychMild,5.0
SWE,NC_mstAntiDepBasicPsychMild,5.0
SWE,NC_mstAntiDepBasicPsychModerate,10.0
SWE,NC_mstAntiDepBasicPsychModerate,10.0
SWE,NC_mstAntiDepInten,5.0
SWE,NC_mstAntiDepInten,5.0
SWE,NC_mstPerinatalPsySoc,10.0
SWE,NC_mstPerinatalPsySoc,10.0
SWE,NC_mstAntiDepBasicPsychMild,5.0
SWE,NC_mstAntiDepBasicPsychMild,5.0
SWE,NC_mstAntiDepBasicPsychModerate,10.0
SWE,NC_mstAntiDepBasicPsychModerate,10.0
SWE,NC_mstAntiDepInten,5.0
SWE,NC_mstAntiDepInten,5.0
SWE,NC_mstAntiDepBasicPsychMild,5.0
SWE,NC_mstAntiDepBasicPsychMild,5.0
SWE,NC_mstAntiDepBasicPsychModerate,10.0
SWE,NC_mstAntiDepBasicPsychModerate,10.0
SWE,NC_mstAntiDepInten,5.0
SWE,NC_mstAntiDepInten,5.0
SWE,NC_mstAntiPsychBasic,20.0
SWE,NC_mstAntiPsychInten,5.0
SWE,NC_mstAntiPsychBasic,20.0
SWE,NC_mstAntiPsychInten,5.0
SWE,NC_mstMoodStableBasicPsych,20.0
SWE,NC_mstMoodStableIntensivePsych,5.0
SWE,NC_mstMoodStableIntensivePsych,5.0
SWE,NC_mstMoodStableBasicPsych,20.0
SWE,NC_mstMoodStableIntensivePsych,5.0
SWE,NC_mstMoodStableIntensivePsych,5.0
SWE,NC_mstAntiEpiBasic,40.0
SWE,NC_mstAntiEpiBasic,40.0
SWE,NC_mstAntiEpiBasic,40.0
SWE,NC_mstAntiEpiBasic,40.0
SWE,NC_mstAlcAssess,5.0
SWE,NC_mstAlcWithdrawl,5.0
SWE,NC_mstAlcRelapsePrevnt,5.0
SWE,NC_mstAlcAssess,5.0
SWE,NC_mstAlcWithdrawl,5.0
SWE,NC_mstAlcRelapsePrevnt,5.0
SWE,NC_mstFamPsychoEdu,5.0
SWE,NC_mstFamPsychoEdu,5.0
SWE,NC_mstFamPsychoEdu,5.0
SWE,NC_mstMethylphenidateMed,5.0
SWE,NC_mstFamPsychoEdu,5.0
SWE,NC_mstMethylphenidateMed,5.0
SWE,NC_mstLowDoseOralTheophylline,72.0
SWE,NC_mstIpratropiumInhaler,72.0
SWE,NC_mstSmokingCessation,72.0
SWE,NC_mstSmokingCessation,72.0
SWE,NC_mstInhaledSalbutamol,72.0
SWE,NC_mstAntibiotics,5.0
SWE,NC_mstOralPrednisolone,72.0
SWE,NC_mstOxygenConcentration24to28,72.0
SWE,NC_mstOxygenConcentration24to28,72.0
SWE,NC_mstLowDoseOralTheophylline,72.0
SWE,NC_mstIpratropiumInhaler,72.0
SWE,NC_mstSmokingCessation,72.0
SWE,NC_mstSmokingCessation,72.0
SWE,NC_mstInhaledSalbutamol,72.0
SWE,NC_mstAntibiotics,5.0
SWE,NC_mstOralPrednisolone,72.0
SWE,NC_mstOxygenConcentration24to28,72.0
SWE,NC_mstOxygenConcentration24to28,72.0
SWE,NC_mstTheopPlusBeclom,95.0
SWE,NC_mstOralPrednisTheopPlusBeclom,95.0
SWE,NC_mstInhaleShortactingBeta,95.0
SWE,NC_mstLowDoseBeclom,36.0
SWE,NC_mstLowDoseBeclom,36.0
SWE,NC_mstHighDoseBeclom,95.0
SWE,NC_mstAsthmaOralPrednisolone,5.0
SWE,NC_mstTheopPlusBeclom,95.0
SWE,NC_mstOralPrednisTheopPlusBeclom,95.0
SWE,NC_mstInhaleShortactingBeta,95.0
SWE,NC_mstLowDoseBeclom,36.0
SWE,NC_mstLowDoseBeclom,36.0
SWE,NC_mstHighDoseBeclom,95.0
SWE,NC_mstAsthmaOralPrednisolone,5.0
SWE,NC_mstACEinhibitors,5.0
SWE,NC_mstACEinhibitors,5.0
SWE,NC_mstPreventBldPrsr160lt30,5.0
SWE,NC_mstPreventBldPrsr160lt30,5.0
SWE,NC_mstPreventBldPrsr140lt30,5.0
SWE,NC_mstPreventBldPrsr140lt30,5.0
SWE,NC_mstPreventCholest8lt30,5.0
SWE,NC_mstPreventCholest8lt30,5.0
SWE,NC_mstPreventCholest6lt30,5.0
SWE,NC_mstPreventCholest6lt30,5.0
SWE,NC_mstPreventTR20,5.0
SWE,NC_mstPreventTR20,5.0
SWE,NC_mstPreventBldPrsr160lt20,5.0
SWE,NC_mstPreventBldPrsr160lt20,5.0
SWE,NC_mstPreventBldPrsr140lt20,5.0
SWE,NC_mstPreventBldPrsr140lt20,5.0
SWE,NC_mstPreventCholest8lt20,5.0
SWE,NC_mstPreventCholest8lt20,5.0
SWE,NC_mstPreventCholest6lt20,5.0
SWE,NC_mstPreventCholest6lt20,5.0
SWE,NC_mstPreventNonDiabTRlt10,5.0
SWE,NC_mstPreventNonDiabTRlt10,0.0
SWE,NC_mstPreventNonDiabTR10to20SBPgt140,5.0
SWE,NC_mstPreventNonDiabTR10to20SBPgt140,5.0
SWE,NC_mstPreventNonDiabTR10to20SBPlt140,5.0
SWE,NC_mstPreventNonDiabTR10to20SBPlt140,5.0
SWE,NC_mstPreventNonDiabTRgt20SBPgt130,5.0
SWE,NC_mstPreventNonDiabTRgt20SBPgt130,5.0
SWE,NC_mstPreventNonDiabTRgt20SBPlt130,5.0
SWE,NC_mstPreventNonDiabTRgt20SBPlt130,5.0
SWE,NC_mstPreventNonDiabSBPgt130,5.0
SWE,NC_mstPreventNonDiabSBPgt130,5.0
SWE,NC_mstPreventDiabSBPgt140,5.0
SWE,NC_mstPreventDiabSBPgt140,5.0
SWE,NC_mstPreventNonDiabSBPgt140,5.0
SWE,NC_mstPreventNonDiabSBPgt140,5.0
SWE,NC_mstPreventDiabSBPgt130,5.0
SWE,NC_mstPreventDiabSBPgt130,5.0
SWE,NC_mstPreventDiabStatinsAgegt40,5.0
SWE,NC_mstPreventDiabStatinsAgegt40,5.0
SWE,NC_mstACEinhibitors,5.0
SWE,NC_mstACEinhibitors,5.0
SWE,NC_mstPreventBldPrsr160lt30,5.0
SWE,NC_mstPreventBldPrsr160lt30,5.0
SWE,NC_mstPreventBldPrsr140lt30,5.0
SWE,NC_mstPreventBldPrsr140lt30,5.0
SWE,NC_mstPreventCholest8lt30,5.0
SWE,NC_mstPreventCholest8lt30,5.0
SWE,NC_mstPreventCholest6lt30,5.0
SWE,NC_mstPreventCholest6lt30,5.0
SWE,NC_mstPreventTR20,5.0
SWE,NC_mstPreventTR20,5.0
SWE,NC_mstPreventBldPrsr160lt20,5.0
SWE,NC_mstPreventBldPrsr160lt20,5.0
SWE,NC_mstPreventBldPrsr140lt20,5.0
SWE,NC_mstPreventBldPrsr140lt20,5.0
SWE,NC_mstPreventCholest8lt20,5.0
SWE,NC_mstPreventCholest8lt20,5.0
SWE,NC_mstPreventCholest6lt20,5.0
SWE,NC_mstPreventCholest6lt20,5.0
SWE,NC_mstPreventNonDiabTRlt10,5.0
SWE,NC_mstPreventNonDiabTRlt10,0.0
SWE,NC_mstPreventNonDiabTR10to20SBPgt140,5.0
SWE,NC_mstPreventNonDiabTR10to20SBPgt140,5.0
SWE,NC_mstPreventNonDiabTR10to20SBPlt140,5.0
SWE,NC_mstPreventNonDiabTR10to20SBPlt140,5.0
SWE,NC_mstPreventNonDiabTRgt20SBPgt130,5.0
SWE,NC_mstPreventNonDiabTRgt20SBPgt130,5.0
SWE,NC_mstPreventNonDiabTRgt20SBPlt130,5.0
SWE,NC_mstPreventNonDiabTRgt20SBPlt130,5.0
SWE,NC_mstPreventNonDiabSBPgt130,5.0
SWE,NC_mstPreventNonDiabSBPgt130,5.0
SWE,NC_mstPreventDiabSBPgt140,5.0
SWE,NC_mstPreventDiabSBPgt140,5.0
SWE,NC_mstPreventNonDiabSBPgt140,5.0
SWE,NC_mstPreventNonDiabSBPgt140,5.0
SWE,NC_mstPreventDiabSBPgt130,5.0
SWE,NC_mstPreventDiabSBPgt130,5.0
SWE,NC_mstPreventDiabStatinsAgegt40,5.0
SWE,NC_mstPreventDiabStatinsAgegt40,5.0
RWA,NC_mstARF_PrimaryPrevention,10.0
RWA,NC_mstARF_SecondaryPrevention,10.0
RWA,NC_mstARF_SecondaryPrevention,10.0
RWA,NC_mstRHD_ValveSurgery,10.0
RWA,NC_mstARF_PrimaryPrevention,12.0
RWA,NC_mstARF_SecondaryPrevention,12.0
RWA,NC_mstARF_SecondaryPrevention,12.0
RWA,NC_mstRHD_ValveSurgery,10.0
RWA,NC_mstTreatPostAcuteIHDComb,5.0
RWA,NC_mstTreatPostAcuteStrokeComb,5.0
RWA,NC_mstEliminateTransFats,5.0
RWA,NC_mstEliminateTransFats,5.0
RWA,NC_mstAspirin,5.0
RWA,NC_mstAspirin,5.0
RWA,NC_mstAspirinAspirinAndTrombolysis,5.0
RWA,NC_mstAspirinAspirinAndTrombolysis,5.0
RWA,NC_mstAspirinAndClopidro,5.0
RWA,NC_mstAspirinAndClopidro,5.0
RWA,NC_mstPCIAndAspirinAndClopidro,5.0
RWA,NC_mstPCIAndAspirinAndClopidro,5.0
RWA,NC_mstTreatMechanicalTrombStroke,5.0
RWA,NC_mstTreatMechanicalTrombStroke,5.0
RWA,NC_mstTreatIntravTrombStroke,5.0
RWA,NC_mstTreatIntravTrombStroke,5.0
RWA,NC_mstTreatStrokeAcuteAspirin,5.0
RWA,NC_mstMaxInterv,5.0
RWA,NC_mstTreatPostAcuteIHDComb,5.0
RWA,NC_mstTreatPostAcuteStrokeComb,5.0
RWA,NC_mstEliminateTransFats,5.0
RWA,NC_mstEliminateTransFats,5.0
RWA,NC_mstAspirin,5.0
RWA,NC_mstAspirin,5.0
RWA,NC_mstAspirinAspirinAndTrombolysis,5.0
RWA,NC_mstAspirinAspirinAndTrombolysis,5.0
RWA,NC_mstAspirinAndClopidro,5.0
RWA,NC_mstAspirinAndClopidro,5.0
RWA,NC_mstPCIAndAspirinAndClopidro,5.0
RWA,NC_mstPCIAndAspirinAndClopidro,5.0
RWA,NC_mstTreatMechanicalTrombStroke,5.0
RWA,NC_mstTreatMechanicalTrombStroke,5.0
RWA,NC_mstTreatIntravTrombStroke,5.0
RWA,NC_mstTreatIntravTrombStroke,5.0
RWA,NC_mstTreatStrokeAcuteAspirin,5.0
RWA,NC_mstMaxInterv,5.0
RWA,NC_mstStdGlycControl,20.0
RWA,NC_mstStdGlycControl,20.0
RWA,NC_mstStdGlycControl,20.0
RWA,NC_mstIntsvGlycControl,5.0
RWA,NC_mstIntsvGlycControl,5.0
RWA,NC_mstIntsvGlycControl,20.0
RWA,NC_mstRetinopathyScrn,10.0
RWA,NC_mstNeuropathyScr,10.0
RWA,NC_mstNephropathyScr,10.0
RWA,NC_mstStdGlycControl,20.0
RWA,NC_mstStdGlycControl,20.0
RWA,NC_mstStdGlycControl,20.0
RWA,NC_mstIntsvGlycControl,5.0
RWA,NC_mstIntsvGlycControl,5.0
RWA,NC_mstIntsvGlycControl,20.0
RWA,NC_mstRetinopathyScrn,10.0
RWA,NC_mstNeuropathyScr,10.0
RWA,NC_mstNephropathyScr,10.0
RWA,NC_mstPalliativeCareExtensive,0.0
RWA,NC_mstTreatPalExtensive,0.0
RWA,NC_mstTreatPalExtensive,0.0
RWA,NC_mstScreenMammogr2,0.0
RWA,NC_mstScreenMammogr2,0.0
RWA,NC_mstScreenMammogr2,0.0
RWA,NC_mstScreenMammogr2,0.0
RWA,NC_mstTreatmentStage1,100.0
RWA,NC_mstTreatmentStage1,100.0
RWA,NC_mstTreatmentStage2,100.0
RWA,NC_mstTreatmentStage2,100.0
RWA,NC_mstTreatmentStage3,100.0
RWA,NC_mstTreatmentStage3,100.0
RWA,NC_mstTreatmentStage4,100.0
RWA,NC_mstTreatmentStage4,100.0
RWA,NC_mstTrastuzamabStage0,100.0
RWA,NC_mstTrastuzamabStage1,100.0
RWA,NC_mstTrastuzamabStage2,100.0
RWA,NC_mstTrastuzamabStage3,100.0
RWA,NC_mstPalliativeCareBasic,0.0
RWA,NC_mstTreatPalBasic,0.0
RWA,NC_mstTreatPalBasic,0.0
RWA,NC_mstScreenMammogr1,0.0
RWA,NC_mstScreenMammogr1,0.0
RWA,NC_mstScreenMammogr1,0.0
RWA,NC_mstScreenMammogr1,0.0
RWA,NC_mstScreeningClinclExam,0.0
RWA,NC_mstScreeningClinclExam,0.0
RWA,NC_mstScreeningClinclExam,0.0
RWA,NC_mstScreeningClinclExam,0.0
RWA,NC_mstVMMC,10.0
RWA,NC_mstVMMC,10.0
RWA,NC_mstVMMC,10.0
RWA,NC_mstVMMC,10.0
RWA,NC_mstVMMC,10.0
RWA,NC_mstVMMC,10.0
RWA,NC_mstVMMC,10.0
RWA,NC_mstVMMC,10.0
RWA,NC_mstVMMC,10.0
RWA,NC_mstPalliativeCareExtensive,0.0
RWA,NC_mstTreatPalExtensive,0.0
RWA,NC_mstTreatPalExtensive,0.0
RWA,NC_mstTreatmentStage1,100.0
RWA,NC_mstTreatmentStage1,100.0
RWA,NC_mstTreatmentStage2,100.0
RWA,NC_mstTreatmentStage2,100.0
RWA,NC_mstTreatmentStage3,100.0
RWA,NC_mstTreatmentStage3,100.0
RWA,NC_mstTreatmentStage4,100.0
RWA,NC_mstTreatmentStage4,100.0
RWA,NC_mstTreatmentStage5,100.0
RWA,NC_mstTreatmentStage5,100.0
RWA,NC_mstPalliativeCareBasic,0.0
RWA,NC_mstTreatPalBasic,0.0
RWA,NC_mstTreatPalBasic,0.0
RWA,NC_mstPAPSmear,0.0
RWA,NC_mstPAPSmear,0.0
RWA,NC_mstPAPSmear,0.0
RWA,NC_mstPAPSmear,0.0
RWA,NC_mstPAPSmear,0.0
RWA,NC_mstPAPSmear,0.0
RWA,NC_mstPAPSmear,0.0
RWA,NC_mstPAPSmear,0.0
RWA,NC_mstPAPSmear,0.0
RWA,NC_mstPAPSmear,0.0
RWA,NC_mstPAPSmear,0.0
RWA,NC_mstHPV_DNA,0.0
RWA,NC_mstHPV_DNA,0.0
RWA,NC_mstHPV_DNA,0.0
RWA,NC_mstHPV_DNA,0.0
RWA,NC_mstHPV_DNA,0.0
RWA,NC_mstHPV_DNA,0.0
RWA,NC_mstHPV_DNA,0.0
RWA,NC_mstHPV_DNA,0.0
RWA,NC_mstHPV_DNA,0.0
RWA,NC_mstHPV_DNA,0.0
RWA,NC_mstHPV_DNA,0.0
RWA,NC_mstVIA,0.0
RWA,NC_mstVIA,0.0
RWA,NC_mstVIA,0.0
RWA,NC_mstVIA,0.0
RWA,NC_mstVIA,0.0
RWA,NC_mstVIA,0.0
RWA,NC_mstVIA,0.0
RWA,NC_mstVIA,0.0
RWA,NC_mstVIA,0.0
RWA,NC_mstVIA,0.0
RWA,NC_mstVIA,0.0
RWA,NC_mstPAPSmearP_HPV,0.0
RWA,NC_mstPAPSmearP_HPV,0.0
RWA,NC_mstPAPSmearP_HPV,0.0
RWA,NC_mstPAPSmearP_HPV,0.0
RWA,NC_mstPAPSmearP_HPV,0.0
RWA,NC_mstPAPSmearP_HPV,0.0
RWA,NC_mstPAPSmearP_HPV,0.0
RWA,NC_mstPAPSmearP_HPV,0.0
RWA,NC_mstPAPSmearP_HPV,0.0
RWA,NC_mstPAPSmearP_HPV,0.0
RWA,NC_mstPAPSmearP_HPV,0.0
RWA,NC_mstHPV_VIA,0.0
RWA,NC_mstHPV_VIA,0.0
RWA,NC_mstHPV_VIA,0.0
RWA,NC_mstHPV_VIA,0.0
RWA,NC_mstHPV_VIA,0.0
RWA,NC_mstHPV_VIA,0.0
RWA,NC_mstHPV_VIA,0.0
RWA,NC_mstHPV_VIA,0.0
RWA,NC_mstHPV_VIA,0.0
RWA,NC_mstHPV_VIA,0.0
RWA,NC_mstHPV_VIA,0.0
RWA,NC_mstVaccination,0.0
RWA,NC_mstPalliativeCareExtensive,100.0
RWA,NC_mstTreatPalExtensive,100.0
RWA,NC_mstTreatPalExtensive,100.0
RWA,NC_mstTreatmentStage1,100.0
RWA,NC_mstTreatmentStage1,100.0
RWA,NC_mstTreatmentStage2,100.0
RWA,NC_mstTreatmentStage2,100.0
RWA,NC_mstTreatmentStage3,100.0
RWA,NC_mstTreatmentStage3,100.0
RWA,NC_mstTreatmentStage4,100.0
RWA,NC_mstTreatmentStage4,100.0
RWA,NC_mstPalliativeCareBasic,100.0
RWA,NC_mstTreatPalBasic,100.0
RWA,NC_mstTreatPalBasic,100.0
RWA,NC_mstFOBT,0.0
RWA,NC_mstFOBT,0.0
RWA,NC_mstFOBT,0.0
RWA,NC_mstSigmoidoscopy,0.0
RWA,NC_mstSigmoidoscopy,0.0
RWA,NC_mstSigmoidoscopy,0.0
RWA,NC_mstColonoscopy,0.0
RWA,NC_mstColonoscopy,0.0
RWA,NC_mstColonoscopy,0.0
RWA,NC_mstPalliativeCareExtensive,0.0
RWA,NC_mstTreatPalExtensive,0.0
RWA,NC_mstTreatPalExtensive,0.0
RWA,NC_mstTreatmentStage1,100.0
RWA,NC_mstTreatmentStage1,100.0
RWA,NC_mstTreatmentStage2,100.0
RWA,NC_mstTreatmentStage2,100.0
RWA,NC_mstTreatmentStage3,100.0
RWA,NC_mstTreatmentStage3,100.0
RWA,NC_mstTreatmentStage4,100.0
RWA,NC_mstTreatmentStage4,100.0
RWA,NC_mstPalliativeCareBasic,0.0
RWA,NC_mstTreatPalBasic,0.0
RWA,NC_mstTreatPalBasic,0.0
RWA,NC_mstFOBT,0.0
RWA,NC_mstFOBT,0.0
RWA,NC_mstFOBT,0.0
RWA,NC_mstSigmoidoscopy,0.0
RWA,NC_mstSigmoidoscopy,0.0
RWA,NC_mstSigmoidoscopy,0.0
RWA,NC_mstColonoscopy,0.0
RWA,NC_mstColonoscopy,0.0
RWA,NC_mstColonoscopy,0.0
RWA,NC_mstAntiDeprIntensPsychNEW,5.0
RWA,NC_mstAntiDeprIntensPsychNEW,5.0
RWA,NC_mstAntiDeprIntensPsychNEW,5.0
RWA,NC_mstAntiDeprIntensPsychREC,1.0
RWA,NC_mstAntiDeprIntensPsychREC,1.0
RWA,NC_mstAntiDeprIntensPsychREC,1.0
RWA,NC_mstAntiDepBasicPsychMild,5.0
RWA,NC_mstAntiDepBasicPsychMild,5.0
RWA,NC_mstAntiDepBasicPsychModerate,10.0
RWA,NC_mstAntiDepBasicPsychModerate,10.0
RWA,NC_mstAntiDepInten,5.0
RWA,NC_mstAntiDepInten,5.0
RWA,NC_mstAntiDeprIntensPsychNEW,5.0
RWA,NC_mstAntiDeprIntensPsychNEW,5.0
RWA,NC_mstAntiDeprIntensPsychNEW,5.0
RWA,NC_mstAntiDeprIntensPsychREC,1.0
RWA,NC_mstAntiDeprIntensPsychREC,1.0
RWA,NC_mstAntiDeprIntensPsychREC,1.0
RWA,NC_mstAntiDepBasicPsychMild,5.0
RWA,NC_mstAntiDepBasicPsychMild,5.0
RWA,NC_mstAntiDepBasicPsychModerate,10.0
RWA,NC_mstAntiDepBasicPsychModerate,10.0
RWA,NC_mstAntiDepInten,5.0
RWA,NC_mstAntiDepInten,5.0
RWA,NC_mstPerinatalPsySoc,10.0
RWA,NC_mstPerinatalPsySoc,10.0
RWA,NC_mstAntiDepBasicPsychMild,5.0
RWA,NC_mstAntiDepBasicPsychMild,5.0
RWA,NC_mstAntiDepBasicPsychModerate,10.0
RWA,NC_mstAntiDepBasicPsychModerate,10.0
RWA,NC_mstAntiDepInten,5.0
RWA,NC_mstAntiDepInten,5.0
RWA,NC_mstAntiDepBasicPsychMild,5.0
RWA,NC_mstAntiDepBasicPsychMild,5.0
RWA,NC_mstAntiDepBasicPsychModerate,10.0
RWA,NC_mstAntiDepBasicPsychModerate,10.0
RWA,NC_mstAntiDepInten,5.0
RWA,NC_mstAntiDepInten,5.0
RWA,NC_mstAntiPsychBasic,20.0
RWA,NC_mstAntiPsychInten,5.0
RWA,NC_mstAntiPsychBasic,20.0
RWA,NC_mstAntiPsychInten,5.0
RWA,NC_mstMoodStableBasicPsych,20.0
RWA,NC_mstMoodStableIntensivePsych,5.0
RWA,NC_mstMoodStableIntensivePsych,5.0
RWA,NC_mstMoodStableBasicPsych,20.0
RWA,NC_mstMoodStableIntensivePsych,5.0
RWA,NC_mstMoodStableIntensivePsych,5.0
RWA,NC_mstAntiEpiBasic,40.0
RWA,NC_mstAntiEpiBasic,40.0
RWA,NC_mstAntiEpiBasic,40.0
RWA,NC_mstAntiEpiBasic,40.0
RWA,NC_mstAlcAssess,5.0
RWA,NC_mstAlcWithdrawl,5.0
RWA,NC_mstAlcRelapsePrevnt,5.0
RWA,NC_mstAlcAssess,5.0
RWA,NC_mstAlcWithdrawl,5.0
RWA,NC_mstAlcRelapsePrevnt,5.0
RWA,NC_mstFamPsychoEdu,5.0
RWA,NC_mstFamPsychoEdu,5.0
RWA,NC_mstFamPsychoEdu,5.0
RWA,NC_mstMethylphenidateMed,5.0
RWA,NC_mstFamPsychoEdu,5.0
RWA,NC_mstMethylphenidateMed,5.0
RWA,NC_mstLowDoseOralTheophylline,9.5
RWA,NC_mstIpratropiumInhaler,3.5
RWA,NC_mstSmokingCessation,15.0
RWA,NC_mstSmokingCessation,15.0
RWA,NC_mstInhaledSalbutamol,11.0
RWA,NC_mstAntibiotics,5.0
RWA,NC_mstOralPrednisolone,5.0
RWA,NC_mstOxygenConcentration24to28,5.0
RWA,NC_mstOxygenConcentration24to28,5.0
RWA,NC_mstLowDoseOralTheophylline,9.5
RWA,NC_mstIpratropiumInhaler,3.5
RWA,NC_mstSmokingCessation,15.0
RWA,NC_mstSmokingCessation,15.0
RWA,NC_mstInhaledSalbutamol,11.0
RWA,NC_mstAntibiotics,5.0
RWA,NC_mstOralPrednisolone,5.0
RWA,NC_mstOxygenConcentration24to28,5.0
RWA,NC_mstOxygenConcentration24to28,5.0
RWA,NC_mstTheopPlusBeclom,36.0
RWA,NC_mstOralPrednisTheopPlusBeclom,36.0
RWA,NC_mstInhaleShortactingBeta,95.0
RWA,NC_mstLowDoseBeclom,36.0
RWA,NC_mstLowDoseBeclom,36.0
RWA,NC_mstHighDoseBeclom,95.0
RWA,NC_mstAsthmaOralPrednisolone,5.0
RWA,NC_mstTheopPlusBeclom,36.0
RWA,NC_mstOralPrednisTheopPlusBeclom,36.0
RWA,NC_mstInhaleShortactingBeta,95.0
RWA,NC_mstLowDoseBeclom,36.0
RWA,NC_mstLowDoseBeclom,36.0
RWA,NC_mstHighDoseBeclom,95.0
RWA,NC_mstAsthmaOralPrednisolone,5.0
RWA,NC_mstACEinhibitors,5.0
RWA,NC_mstACEinhibitors,5.0
RWA,NC_mstPreventBldPrsr160lt30,5.0
RWA,NC_mstPreventBldPrsr160lt30,5.0
RWA,NC_mstPreventBldPrsr140lt30,5.0
RWA,NC_mstPreventBldPrsr140lt30,5.0
RWA,NC_mstPreventCholest8lt30,5.0
RWA,NC_mstPreventCholest8lt30,5.0
RWA,NC_mstPreventCholest6lt30,5.0
RWA,NC_mstPreventCholest6lt30,5.0
RWA,NC_mstPreventTR20,5.0
RWA,NC_mstPreventTR20,5.0
RWA,NC_mstPreventBldPrsr160lt20,5.0
RWA,NC_mstPreventBldPrsr160lt20,5.0
RWA,NC_mstPreventBldPrsr140lt20,5.0
RWA,NC_mstPreventBldPrsr140lt20,5.0
RWA,NC_mstPreventCholest8lt20,5.0
RWA,NC_mstPreventCholest8lt20,5.0
RWA,NC_mstPreventCholest6lt20,5.0
RWA,NC_mstPreventCholest6lt20,5.0
RWA,NC_mstPreventNonDiabTRlt10,5.0
RWA,NC_mstPreventNonDiabTRlt10,0.0
RWA,NC_mstPreventNonDiabTR10to20SBPgt140,5.0
RWA,NC_mstPreventNonDiabTR10to20SBPgt140,5.0
RWA,NC_mstPreventNonDiabTR10to20SBPlt140,5.0
